07202406101049Almería                                           00753920008460048296600528130000000000000000000126454001669760000144600001320002156120000000000000000000000S
07202406101119Cádiz                                             01250539015280099464401025844000000000000000000226130003115580000348700002953003893250000000000000000000000S
07202406101149Córdoba                                           00773997009500062890400647746000000000000000000182599002383750000276500003532003000170000000000000000000000S
07202406101189Granada                                           00930181011220072001100773433000000000000000000199386002648430000233800002901003435600000000000000000000000S
07202406101219Huelva                                            00530824006540040084600409012000000000000000000089060001213180000138900001923001596010000000000000000000000S
07202406101239Jaén                                              00620242007450050418600517653000000000000000000142347001878180000176200003119002454940000000000000000000000S
07202406101299Málaga                                            01751600015690120816901270064000000000000000000302699004142320000384800004124005220790000000000000000000000S
07202406101419Sevilla                                           01957210025950153808501576910000000000000000000418286005691110000655400007574007181120000000000000000000000S
07202406101999Andalucía                                         08568513100090647781106748792000000000000000001686961022742310002358900027446028938000000000000000000000000S
07202406102229Huesca                                            00227077003420016775300176030000000000000000000048815000651850000085300000658000853630000000000000000000000S
07202406102449Teruel                                            00135237003220010178900106878000000000000000000031269000420580000041400000478000538840000000000000000000000S
07202406102509Zaragoza                                          00977413010690072132000748004000000000000000000216819002936490000329700002085003794540000000000000000000000S
07202406102999Aragón                                            01339727017330099086201030912000000000000000000296903004008920000456400003221005187010000000000000000000000S
07202406103339Asturias                                          01005283012110083650500962556000000000000000000233821003407290000394200003069004235420000000000000000000000S
07202406103999Principado de Asturias                            01005283012110083650500962556000000000000000000233821003407290000394200003069004235420000000000000000000000S
07202406104079Illes Balears                                     01197261012550081963000853777000000000000000000186951002475320000223900001792003179360000000000000000000000S
07202406104999Illes Balears                                     01197261012550081963000853777000000000000000000186951002475320000223900001792003179360000000000000000000000S
07202406105359Las Palmas                                        01140258015690086425800922061000000000000000000162532002499050000224100002540003427230000000000000000000000S
07202406105389Santa Cruz de Tenerife                            01061790013760080919100919806000000000000000000153530002430120000216400002257003332640000000000000000000000S
07202406105999Canarias                                          02202048029450167344901841867000000000000000000316062004929170000440500004797006759870000000000000000000000S
07202406106399Cantabria                                         00588419007390047087800513642000000000000000000147960002109760000217100002398002555970000000000000000000000S
07202406106999Cantabria                                         00588419007390047087800513642000000000000000000147960002109760000217100002398002555970000000000000000000000S
07202406107029Albacete                                          00387174005260030105800308990000000000000000000090376001194710000127700001392001539460000000000000000000000S
07202406107139Ciudad Real                                       00491127007080038572000392694000000000000000000108891001474760000151100002145001900200000000000000000000000S
07202406107169Cuenca                                            00197139003790015062900153889000000000000000000047764000651500000071700000821000821810000000000000000000000S
07202406107199Guadalajara                                       00274598005620019654000201889000000000000000000058903000820090000082200000925001029200000000000000000000000S
07202406107459Toledo                                            00728496009090053759800551072000000000000000000155890002123990000178300003060002662260000000000000000000000S
07202406107999Castilla-La Mancha                                02078534030840157154501608534000000000000000000461824006265050000611000008343007952930000000000000000000000S
07202406108059Ávila                                             00158407003520012828100136665000000000000000000040039000569070000067300000797000715720000000000000000000000S
07202406108099Burgos                                            00357180007470027872300297809000000000000000000085650001184700000162000001486001529080000000000000000000000S
07202406108249León                                              00447463006800037436000423158000000000000000000105524001499710000163500001653001931720000000000000000000000S
07202406108349Palencia                                          00157752003350012988000137411000000000000000000040832000577070000064900000731000735140000000000000000000000S
07202406108379Salamanca                                         00327170005840026897300300431000000000000000000080791001133300000116900001307001447240000000000000000000000S
07202406108409Segovia                                           00155258003280011713400120800000000000000000000037893000532270000062300000725000673350000000000000000000000S
07202406108429Soria                                             00089482002560006900200076462000000000000000000020903000285770000032900000239000371330000000000000000000000S
07202406108479Valladolid                                        00521071006880041904700433864000000000000000000135671001910930000197000001827002440330000000000000000000000S
07202406108499Zamora                                            00166366003680014152800162466000000000000000000039807000565900000061600000722000728680000000000000000000000S
07202406108999Castilla y León                                   02380149043380192692802089066000000000000000000587110008258720000928400009487010572590000000000000000000000S
07202406109089Barcelona                                         05805500064910408684404311336000000000000000001042599014185800001077800007773018188160000000000000000000000S
07202406109179Girona                                            00809266008680054011300564851000000000000000000119278001664910000174200001601002114260000000000000000000000S
07202406109259Lleida                                            00446793004840030279700321300000000000000000000066012000893060000110000000998001186350000000000000000000000S
07202406109439Tarragona                                         00847566010480058750300609698000000000000000000137683001847010000161900001782002362090000000000000000000000S
07202406109999Cataluña                                          07909125088910551725705807185000000000000000001365572018590780001523900012154023850860000000000000000000000S
07202406110069Badajoz                                           00665089009040053924000551168000000000000000000150270001942690000194100003093002524200000000000000000000000S
07202406110109Cáceres                                           00387434004950032318700339629000000000000000000092291001232380000105400002088001572720000000000000000000000S
07202406110999Extremadura                                       01052523013990086242700890797000000000000000000242561003175070000299500005181004096920000000000000000000000S
07202406111159A Coruña                                          01123426015170092486501089998000000000000000000241457003567970000330900002691004596370000000000000000000000S
07202406111279Lugo                                              00323956005270026803000338107000000000000000000068439001034330000103600001139001345760000000000000000000000S
07202406111329Ourense                                           00304550005310025340000357359000000000000000000070822001015200000092500000885001318170000000000000000000000S
07202406111369Pontevedra                                        00944245013470077592600913999000000000000000000207511003054660000256000003214003924420000000000000000000000S
07202406111999Galicia                                           02696177039220222222102699463000000000000000000588229008672160000783000007929011184720000000000000000000000S
07202406112289Madrid                                            06859914069970496477705367223000000000000000001587830022172930001804200015193027866180000000000000000000000S
07202406112999Comunidad de Madrid                               06859914069970496477705367223000000000000000001587830022172930001804200015193027866180000000000000000000000S
07202406113319Navarra                                           00671746008840049490500525420000000000000000000152265002043970000218100001664002590590000000000000000000000S
07202406113999Comunidad Foral de Navarra                        00671746008840049490500525420000000000000000000152265002043970000218100001664002590590000000000000000000000S
07202406114019Araba/Álava                                       00336686004280025445400262896000000000000000000070652000974330000062900000678001259410000000000000000000000S
07202406114209Gipuzkoa                                          00728027008580055872400588420000000000000000000165587002245270000143900000889002792960000000000000000000000S
07202406114489Bizkaia                                           01154306014030090385100947068000000000000000000267144003751460000246000002146004644620000000000000000000000S
07202406114999País Vasco                                        02219019026890171702901798384000000000000000000503383006971060000452800003713008696990000000000000000000000S
07202406115309Murcia                                            01552457017280107961601117755000000000000000000312786004000900000306300003249005166930000000000000000000000S
07202406115999Región de Murcia                                  01552457017280107961601117755000000000000000000312786004000900000306300003249005166930000000000000000000000S
07202406116269La Rioja                                          00322490004140023661000254840000000000000000000074118000959220000103400001111001230330000000000000000000000S
07202406116999La Rioja                                          00322490004140023661000254840000000000000000000074118000959220000103400001111001230330000000000000000000000S
07202406117039Alacant/Alicante                                  01950357022300129673301343030000000000000000000405729005136280000409300004411006412220000000000000000000000S
07202406117129Castelló/Castellón                                00603952007400043118200442293000000000000000000141344001848510000179000001946002282360000000000000000000000S
07202406117469València/Valencia                                 02656291032030195763602029032000000000000000000674598008729910000735700007305010887230000000000000000000000S
07202406117999Comunitat Valenciana                              05210600061730368555103814355000000000000000001221671015714700001324000013662019581810000000000000000000000S
07202406118519Ceuta                                             00083039000750006088300063882000000000000000000010211000148880000009200000081000196820000000000000000000000S
07202406118999Ciudad Autónoma de Ceuta                          00083039000750006088300063882000000000000000000010211000148880000009200000081000196820000000000000000000000S
07202406119529Melilla                                           00085491000700005577900061836000000000000000000009010000133680000010700000079000184530000000000000000000000S
07202406119999Ciudad Autónoma de Melilla                        00085491000700005577900061836000000000000000000009010000133680000010700000079000184530000000000000000000000S
07202406199999España                                            48022515585563566466338050286000000000000000009985228136779890012465500124569174027830000610000000000000000S
