07202406000001IZQESP                                            IZQUIERDA ESPAÑOLA                                                                                                                                    000001000001000001
07202406000002CEUS                                              COALICIÓN POR UNA EUROPA SOLIDARIA                                                                                                                    000002000002000002
07202406000003EL PI                                             EL PI-PROPOSTA PER LES ILLES BALEARS-COALICIÓN POR UNA EUROPA SOLIDARIA                                                                               000003000003000002
07202406000004CCa                                               COALICIÓN CANARIA-COALICIÓN POR UNA EUROPA SOLIDARIA                                                                                                  000004000004000002
07202406000005CEUS                                              COALICIÓ PER UNA EUROPA SOLIDÀRIA-COALICIÓN POR UNA EUROPA SOLIDARIA                                                                                  000005000005000002
07202406000006CEUS                                              COALICIÓN POR UNHA EUROPA SOLIDARIA-COALICIÓN POR UNA EUROPA SOLIDARIA                                                                                000006000006000002
07202406000007GBAI                                              GEROA BAI-EUROPA SOLIDARIOAREN ALDEKO KOALIZIOA-COALICIÓN POR UNA EUROPA SOLIDARIA                                                                    000007000007000002
07202406000008EAJ-PNV                                           EUZKO ALDERDI JELTZALEA-PARTIDO NACIONALISTA VASCO-EUROPA SOLIDARIOAREN ALDEKO KOALIZIOA-COALICIÓN POR UNA EUROPA SOLIDARIA                           000008000008000002
07202406000009FO                                                FRENTE OBRERO                                                                                                                                         000009000009000009
07202406000010AHORA REPÚBLICAS (ERC-EH BILDU-BNG-ARA MÉS)       AHORA REPÚBLICAS (ERC-EH BILDU-BNG-ARA MÉS)                                                                                                           000010000010000010
07202406000011ARA MÉS-ARA REPÚBLIQUES                           ARA MÉS-ARA REPÚBLIQUES                                                                                                                               000011000011000010
07202406000012ERC-ARA REPÚBLIQUES                               ESQUERRA REPUBLICANA DE CATALUNYA-ARA REPÚBLIQUES                                                                                                     000012000012000010
07202406000013BNG-AGORA REPÚBLICAS                              BLOQUE NACIONALISTA GALEGO-AGORA REPÚBLICAS                                                                                                           000013000013000010
07202406000014EH BILDU-ORAIN ERREPUBLIKAK                       EUSKAL HERRIA BILDU-ORAIN ERREPUBLIKAK                                                                                                                000014000014000010
07202406000015ERPV-ARA REPÚBLIQUES                              ESQUERRA REPUBLICANA DEL PAÍS VALENCIÀ-ARA REPÚBLIQUES                                                                                                000015000015000010
07202406000017PSOE                                              PARTIDO SOCIALISTA OBRERO ESPAÑOL                                                                                                                     000017000017000017
07202406000019ANDALUCISTAS                                      AHORA ANDALUCÍA                                                                                                                                       000019000019000019
07202406000020IE                                                IUSTITIA EUROPA                                                                                                                                       000020000020000020
07202406000021VOX                                               VOX                                                                                                                                                   000021000021000021
07202406000022PP                                                PARTIDO POPULAR                                                                                                                                       000022000022000022
07202406000023ESCAÑOS EN BLANCO                                 ESCAÑOS EN BLANCO PARA DEJAR ESCAÑOS VACÍOS                                                                                                           000023000023000023
07202406000024CRT                                               CORRIENTE REVOLUCIONARIA DE LOS TRABAJADORES                                                                                                          000024000024000024
07202406000025PODEMOS                                           PODEMOS                                                                                                                                               000025000025000025
07202406000026PFAC                                              FEMINISTAS AL CONGRESO                                                                                                                                000026000026000026
07202406000027PCTE                                              PARTIDO COMUNISTA DE LOS TRABAJADORES DE ESPAÑA                                                                                                       000027000027000027
07202406000028PCTC                                              PARTIT COMUNISTA DELS TREBALLADORS DE CATALUNYA                                                                                                       000028000028000027
07202406000029PCPE/PCPC                                         COALICIÓN PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA / PARTIT COMUNISTA DEL POBLE DE CATALUNYA                                                        000029000029000029
07202406000032SUMAR                                             SUMAR                                                                                                                                                 000032000032000032
07202406000033COMPROMIS - SUMAR                                 COMPROMIS - SUMAR                                                                                                                                     000033000033000032
07202406000034SUMAR GALICIA                                     SUMAR GALICIA                                                                                                                                         000034000034000032
07202406000035COMUNS SUMAR                                      COMUNS SUMAR                                                                                                                                          000035000035000032
07202406000036SUMAR CANARIAS                                    SUMAR CANARIAS                                                                                                                                        000036000036000032
07202406000037SUMAR ARAGÓN                                      SUMAR ARAGÓN                                                                                                                                          000037000037000032
07202406000038SUMAR ANDALUCÍA                                   SUMAR ANDALUCÍA                                                                                                                                       000038000038000032
07202406000039PACMA                                             PARTIDO ANIMALISTA CON EL MEDIO AMBIENTE                                                                                                              000039000039000039
07202406000040CREE EN EUROPA                                    CREE EN EUROPA                                                                                                                                        000040000040000040
07202406000041PMR                                               PAIS I MOVIMENT RURAL                                                                                                                                 000041000041000041
07202406000042AGRUPACIÓN DE ELECTORES "SE ACABÓ LA FIESTA"      AGRUPACIÓN DE ELECTORES "SE ACABÓ LA FIESTA"                                                                                                          000042000042000042
07202406000043F                                                 FUTURO                                                                                                                                                000043000043000043
07202406000044EXISTE                                            LA ESPAÑA OLVIDADA EXISTE - MUNICIPALISTAS - MUNDO JUSTO                                                                                              000044000044000072
07202406000045EXISTE                                            ARAGÓN TERUEL EXISTE - LA ESPAÑA OLVIDADA EXISTE - MUNICIPALISTAS - MUNDO JUSTO                                                                       000045000045000072
07202406000046Cs                                                CIUDADANOS-PARTIDO DE LA CIUDADANÍA                                                                                                                   000046000046000046
07202406000047FE de las JONS                                    FALANGE ESPAÑOLA DE LAS J.O.N.S.                                                                                                                      000047000047000047
07202406000048SAE                                               SOBERANÍA ALIMENTARIA ESPAÑOLA                                                                                                                        000048000048000048
07202406000049J.U.E.X.                                          JUNTOS POR EXTREMADURA                                                                                                                                000049000049000049
07202406000050PH                                                PARTIDO HUMANISTA                                                                                                                                     000050000050000050
07202406000051VOLT                                              VOLT ESPAÑA                                                                                                                                           000051000051000051
07202406000052RECORTES CERO                                     RECORTES CERO                                                                                                                                         000052000052000052
07202406000060JUNTS UE                                          JUNTS I LLIURES PER EUROPA                                                                                                                            000060000060000060
07202406000061PSC                                               PARTIT DELS SOCIALISTES DE CATALUNYA (PSC-PSOE)                                                                                                       000061000061000017
07202406000062PMR-RV-VN                                         PAIS I MOVIMENT RURAL-REPUBLICA VALENCIANA-VIA MEDITERRÀNIA                                                                                           000062000062000041
07202406000063EXTREMEÑOS                                        EXTREMEÑOS PREX CREX                                                                                                                                  000063000063000063
07202406000064GLG                                               PARTIDO GALEGO                                                                                                                                        000064000064000064
07202406000065PIRATAS / REBELDES                                PIRATAS - ALIANZA REBELDE - EUROPEAN PIRATES                                                                                                          000065000065000065
07202406000066PIRATAS / REBELDES                                PIRATES - ALIANZA REBALBA - EUROPEAN PIRATES                                                                                                          000066000066000065
07202406000067PIRATES / REBELS                                  PIRATES - ALIANÇA REBEL - EUROPEAN PIRATES                                                                                                            000067000067000065
07202406000068PIRATES.CAT / REBELS                              PIRATES DE CATALUNYA - EUROPEAN PIRATES - ALIANÇA REBEL                                                                                               000068000068000065
07202406000069PIRATAS / REBELDES                                PIRATAK - ALIANTZA ERREBELDEA - EUROPEAN PIRATES                                                                                                      000069000069000065
07202406000070PREPAL                                            SALAMANCA-ZAMORA-LEÓN PREPAL                                                                                                                          000070000070000070
07202406000072EXISTE                                            LA ESPAÑA OLVIDADA EXISTE - MUNICIPALISTAS - MUNDO JUSTO                                                                                              000072000072000072
